1.000000000000000000e+02 1.469999999999999716e+02 4.899999999999998579e+01 2.600000000000000355e+01 -1.219999999999999858e+02 9.699999999999995737e+01 -3.000000000000064393e+00 1.799999999999991118e+01 4.299999999999996447e+01 4.999999999999995737e+01 5.399999999999993605e+01 4.300000000000004974e+01
9.603724595517398654e+01 1.430009361106585857e+02 4.896399288434069064e+01 2.403614113508739791e+01 -1.170195149253369920e+02 9.598259042952669517e+01 -2.280448426189935970e-02 1.694457807962563578e+01 4.301454772462422937e+01 5.000398330213305798e+01 5.201181744146104791e+01 3.999489905037784609e+01
9.396257285220130484e+01 1.469840041235673311e+02 5.402548383274498178e+01 2.096819715365142400e+01 -1.179728487006467645e+02 1.000048207478916993e+02 -3.956397227469924172e+00 1.407999806515674912e+01 3.998994153537392293e+01 4.999527642801060523e+01 5.098627558043030916e+01 3.900881545968597663e+01
9.006358938740244469e+01 1.529768383422841396e+02 6.390431730289949286e+01 1.407913541463969231e+01 -1.190219389212987693e+02 1.079428503802845256e+02 -8.026065374766742977e+00 1.192474118738322453e+01 3.901988081211879944e+01 4.901293730230582213e+01 5.201299112827740601e+01 4.097726380461746487e+01
8.696255167761523808e+01 1.629402685524470087e+02 7.898064608156978750e+01 4.992506516631805447e+00 -1.219501994926698103e+02 1.199579725743039802e+02 -9.948439797595728606e+00 1.207764487292583766e+01 3.798335313661725365e+01 4.699690851148292836e+01 5.197808554892341704e+01 4.498913859960298822e+01
8.110727301552358881e+01 1.729574639501727518e+02 9.285532291213614542e+01 -4.878493072022227928e+00 -1.250284112507616925e+02 1.329042058866237142e+02 -1.500529926572911066e+01 1.192818946604291774e+01 3.999358352922209292e+01 5.095170338063746129e+01 5.696904208056617591e+01 5.094317466743380862e+01
7.298339589070302225e+01 1.799506862086011836e+02 1.089617576125446305e+02 -1.599311757804230538e+01 -1.239711082493604266e+02 1.439589221900164944e+02 -1.893420859158848302e+01 9.102738577983032542e+00 4.396810967070583587e+01 6.094272094651897476e+01 6.395026413786253272e+01 5.797859484821459120e+01
6.909446847192172925e+01 1.820343156498344968e+02 1.139503365428180075e+02 -2.091753417258597736e+01 -1.240501272246075217e+02 1.479865787593024038e+02 -2.595355277041690911e+01 5.964098189605366862e+00 4.107665133960644255e+01 6.203120966862655905e+01 6.601204657675327780e+01 5.899933627006424786e+01
6.300337521058634138e+01 1.760455896550229511e+02 1.140417702125565000e+02 -2.501598438091651389e+01 -1.180382287378927657e+02 1.450464156463454231e+02 -3.588319336624116573e+01 -2.831105500007961684e+00 3.501372693774354161e+01 6.000202100733132937e+01 6.697143815042151971e+01 5.801560904217200942e+01
5.809823452149402812e+01 1.740028006804001279e+02 1.159119648998866836e+02 -2.791620520195762722e+01 -1.140423729173443945e+02 1.449581308078365964e+02 -4.101373501303406499e+01 -7.071055960168779464e+00 3.401264167306456443e+01 5.804001784993520374e+01 6.702830648749176135e+01 5.798047730787367016e+01
